t, X, Y, Z, V_X, V_Y, V_Z, traj_id
0.000000000000000000e+00,5.892233276367188077e-01,-7.233266353607177568e-02,1.440101852416992179e+00,8.519897248434990189e+00,-2.906628955524071523e-01,-1.232294902303607831e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.977371597290038752e-01,-7.169660091400145707e-02,1.444916381835937180e+00,8.508381858842460232e+00,-1.250993696835575042e-01,-1.918129765509116069e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.063451004028320712e-01,-7.109322547912597101e-02,1.451744613647460325e+00,8.493073338649912429e+00,1.098348622181693629e-01,-2.528158616349129417e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.153470993041991743e-01,-7.052573204040528398e-02,1.459991683959960929e+00,8.485450946940481742e+00,3.603504099720705733e-01,-3.085059672774892459e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.245158767700196289e-01,-7.001768112182615855e-02,1.468898620605468164e+00,8.565155586634302765e+00,5.683822669146118001e-01,-3.309247888133026727e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.335726547241210538e-01,-6.957679271697997381e-02,1.477485809326171795e+00,8.706868625779609516e+00,7.043856513505557526e-01,-3.312102071393331570e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.430570220947265936e-01,-6.917230129241942749e-02,1.486006278991699459e+00,8.882160000930811705e+00,7.648779780069865364e-01,-3.210456400635095964e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.526840209960937944e-01,-6.881484985351563055e-02,1.494113159179687456e+00,9.064088857305858227e+00,7.479592479206732536e-01,-3.060700300984533939e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.624401092529297319e-01,-6.850151538848876787e-02,1.501804847717284952e+00,9.237961847622074174e+00,6.711000920534185843e-01,-2.894970201118761022e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.723102569580078347e-01,-6.822971343994140014e-02,1.509113273620605433e+00,9.395272839509118512e+00,5.599858666026730214e-01,-2.730420938515748741e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.822809600830077592e-01,-6.799720764160156750e-02,1.516081123352050586e+00,9.532363587534911531e+00,4.410843617408268247e-01,-2.575725383746996666e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.920413970947265625e-01,-6.780715465545654463e-02,1.522558593749999911e+00,9.645969652827815821e+00,3.384012615546628799e-01,-2.438633676455520316e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.021718597412109908e-01,-6.764605998992920255e-02,1.528975639343261417e+00,9.744862490771506458e+00,2.581588134935394185e-01,-2.312065126637699475e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.123672485351562056e-01,-6.751822948455811491e-02,1.535165176391601660e+00,9.827941753653718138e+00,2.078661452634124329e-01,-2.200030782703513044e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.226179504394530939e-01,-6.742159366607665405e-02,1.541154785156249929e+00,9.897757366902556697e+00,1.844453456691124704e-01,-2.101489593781844523e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.329160308837888715e-01,-6.735414028167724387e-02,1.546966323852539293e+00,9.956494269762803384e+00,1.804779586092874200e-01,-2.015082108209011125e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.429499816894531428e-01,-6.731471061706542636e-02,1.552454452514648420e+00,1.000464905971389129e+01,1.868182520527555124e-01,-1.941548379337593611e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.533217620849610441e-01,-6.729910850524901955e-02,1.557965354919433221e+00,1.004663909538013122e+01,1.961608388322735874e-01,-1.874863482328826825e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.637227630615233132e-01,-6.730725765228272317e-02,1.563341331481933327e+00,1.008220925560716807e+01,2.027231112275311997e-01,-1.816168810967448088e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.738416290283203214e-01,-6.733649253845214178e-02,1.568438644409179794e+00,1.011162354702183030e+01,2.036310182799691282e-01,-1.765924571822932387e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.842878723144530717e-01,-6.738748550415038507e-02,1.573572692871093803e+00,1.013750948523177620e+01,1.986834751699479984e-01,-1.719588941789417014e+00,0.000000000000000000e+00
